Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	34	15724.6	15774.4	223106.6	223156.4	49.8	00:00:15:787	00:00:15:870	-	-	-	-	-	-	-	714.2	602.8	737.6	603.1	1.0	1332.5	2901.6	161.4	23.9	56.2	66.7	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	34	15774.4	16423.8	223156.4	223805.7	649.3	00:00:15:870	00:00:16:494	733.6	600.4	59.3	49.0	2.9	11.2	11.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	35	16423.8	16456.7	223805.7	223838.7	33.0	00:00:16:494	00:00:16:536	-	-	-	-	-	-	-	733.8	595.1	745.0	596.2	0.5	1065.5	1897.8	233.2	16.8	31.6	49.4	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	35	16456.7	16806.5	223838.7	224188.5	349.8	00:00:16:536	00:00:16:869	741.1	595.6	58.5	48.3	2.9	8.6	4.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	36	16806.5	16839.5	224188.5	224221.4	32.9	00:00:16:869	00:00:16:911	-	-	-	-	-	-	-	736.9	600.0	724.1	603.8	0.6	1235.7	1917.4	554.0	23.5	37.6	49.4	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	36	16839.5	18553.4	224221.4	225935.3	1713.9	00:00:16:911	00:00:18:661	723.4	592.4	58.1	48.0	2.9	17.7	22.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	37	18553.4	18586.7	225935.3	225968.6	33.3	00:00:18:661	00:00:18:661	-	-	-	-	-	-	-	725.5	583.1	736.3	584.4	0.5	1120.5	1718.6	522.3	16.2	29.6	51.1	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	37	18586.7	19452.1	225968.6	226834.0	865.4	00:00:18:661	00:00:19:535	736.0	590.5	59.5	49.0	2.9	13.7	15.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	38	19452.1	19501.9	226834.0	226883.9	49.9	00:00:19:535	00:00:19:576	-	-	-	-	-	-	-	728.6	587.6	745.7	589.8	0.8	2720.1	3916.3	679.4	22.6	56.6	33.2	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	38	19501.9	19901.6	226883.9	227283.5	399.7	00:00:19:576	00:00:19:993	742.2	596.9	59.5	49.8	3.0	11.4	25.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
